City,Country,Max Temp (F),Humidity,Cloudiness,Wind Speed,Lat,Lng,Date
carutapera,BR,81.626,89,97,2.58,-1.2,-46.02,1592940539
almaznyy,RU,73.4,60,20,1.0,48.04,40.05,1592940539
tanout,NE,97.502,11,0,2.21,14.97,8.89,1592940539
kasongo-lunda,CD,72.554,31,0,0.75,-6.47,16.82,1592940539
kokkola,FI,66.83,43,90,3.6,63.84,23.13,1592940539
tecoanapa,MX,90.536,52,49,4.91,16.52,-98.75,1592940540
ilhabela,BR,74.89399999999999,66,100,1.65,-23.78,-45.36,1592940540
cozumel,MX,87.26,70,90,4.6,20.51,-86.95,1592940540
vanimo,PG,78.116,86,47,2.06,-2.67,141.3,1592940417
male,MV,86.0,74,75,6.2,4.17,73.51,1592940540
port augusta,AU,39.254,93,0,2.6,-32.5,137.77,1592940499
lata,PT,63.788,88,90,4.6,40.16,-8.33,1592940540
cam ranh,VN,84.2,70,40,0.5,11.92,109.16,1592940540
karakol,KG,55.274,63,100,1.41,42.49,78.39,1592940540
eyl,SO,80.78,75,0,10.66,7.98,49.82,1592940540
minab,IR,91.4,66,0,2.1,27.15,57.08,1592940540
caxito,AO,73.4,83,40,3.6,-8.58,13.66,1592940540
borgo san lorenzo,IT,76.69399999999999,42,1,1.5,43.96,11.38,1592940540
saint-augustin,CA,67.04599999999999,75,100,6.05,51.23,-58.65,1592940541
lakhdenpokhya,RU,75.002,60,12,2.74,61.52,30.2,1592940541
yauya,PE,63.896,34,28,1.92,-8.98,-77.3,1592940541
labuan,MY,78.404,100,75,1.0,5.28,115.24,1592940541
mayumba,GA,72.518,87,91,2.48,-3.43,10.66,1592940541
aklavik,CA,42.8,81,90,6.2,68.22,-135.01,1592940541
port hardy,CA,57.2,100,90,3.1,50.7,-127.42,1592940340
faya,SA,76.1,16,100,4.6,18.39,42.45,1592940181
mayo,US,84.578,78,1,4.6,38.89,-76.51,1592940142
nizhniy baskunchak,RU,77.972,22,95,4.26,48.22,46.83,1592940541
teya,RU,64.85,60,100,1.08,60.38,92.63,1592940541
goundam,ML,99.30199999999999,21,48,5.87,16.41,-3.67,1592940541
ostrovnoy,RU,40.172,75,100,6.55,68.05,39.51,1592940541
grand gaube,MU,68.0,84,0,1.34,-20.01,57.66,1592940542
norman wells,CA,50.0,87,90,6.7,65.28,-126.83,1592940542
hazorasp,UZ,77.0,44,0,4.1,41.32,61.07,1592940197
balikpapan,ID,76.82,86,98,3.49,-1.27,116.83,1592940542
ormara,PK,85.55,79,0,2.2,25.21,64.64,1592940542
san angelo,US,85.388,48,1,2.1,31.46,-100.44,1592940542
ponta delgada,PT,68.0,88,75,5.1,37.73,-25.67,1592940542
paranaiba,BR,80.006,38,100,3.31,-19.68,-51.19,1592940542
gouyave,GD,86.0,74,40,7.7,12.16,-61.73,1592940542
talara,PE,77.0,65,1,5.1,-4.58,-81.27,1592940542
polyanka,UA,66.70400000000001,91,100,1.58,50.26,27.69,1592940542
esna,EG,98.6,22,0,2.1,25.29,32.55,1592940542
mutsu,JP,60.926,93,75,1.5,41.29,141.22,1592940543
dunedin,NZ,46.76,84,10,1.51,-45.87,170.5,1592939968
tucuman,AR,68.0,60,100,3.6,-26.82,-65.22,1592940543
am timan,TD,90.176,35,16,2.58,11.03,20.28,1592940543
nedjo,ET,58.315999999999995,92,43,0.21,9.5,35.5,1592940543
denpasar,ID,80.6,94,75,2.6,-8.65,115.22,1592940503
ornskoldsvik,SE,68.0,49,64,2.6,63.29,18.72,1592940543
anjiang,CN,75.902,92,100,0.55,27.32,110.1,1592940543
putina,PE,49.55,45,0,0.47,-15.47,-69.43,1592940543
maceio,BR,80.6,74,40,5.7,-9.67,-35.74,1592940412
viedma,AR,56.084,37,0,5.91,-40.81,-63.0,1592940447
gazli,UZ,85.334,13,0,4.29,40.13,63.45,1592940543
mari,BR,82.4,65,20,6.7,-7.06,-35.32,1592940543
preston,GB,71.888,72,7,4.6,53.77,-2.72,1592940544
hearst,CA,62.6,59,100,4.66,49.68,-83.67,1592940544
nanyamba,TZ,73.4,94,75,6.2,-10.68,39.83,1592940544
moosomin,CA,70.736,52,85,2.82,50.13,-101.67,1592940544
grand-santi,GF,81.608,90,100,1.0,4.25,-54.38,1592940544
mukhen,RU,54.734,95,100,0.99,48.1,136.1,1592940544
leninskoye,RU,53.69,97,100,5.48,47.94,132.62,1592940544
bobcaygeon,CA,72.104,94,90,2.1,44.55,-78.54,1592940544
constitucion,CL,50.684,83,100,4.92,-35.33,-72.42,1592940544
tshikapa,CD,76.208,31,0,1.01,-6.42,20.8,1592940544
tacuarembo,UY,70.142,85,100,2.5,-31.73,-55.98,1592940421
nanortalik,GL,42.152,79,100,3.38,60.14,-45.24,1592940237
joshimath,IN,65.516,56,27,0.67,30.57,79.57,1592940545
gatesville,US,77.63,69,40,5.1,31.44,-97.74,1592940545
asyut,EG,93.2,26,0,4.1,27.18,31.18,1592940545
hirara,JP,83.156,88,100,4.74,24.8,125.28,1592940545
jahangirpur,IN,95.0,4,0,2.33,28.18,77.72,1592940545
boa vista,BR,86.0,58,75,2.1,2.82,-60.67,1592940545
vagur,FO,50.702,87,0,8.25,61.47,-6.81,1592940545
adelaide,AU,52.232,93,75,3.1,-34.93,138.6,1592940251
kamaishi,JP,62.168,87,85,2.8,39.27,141.88,1592940545
oussouye,SN,81.518,83,46,2.1,12.48,-16.55,1592940545
moratuwa,LK,80.6,94,20,2.1,6.77,79.88,1592940546
esik,KZ,77.0,22,40,3.0,43.36,77.45,1592940546
shelton,US,83.89399999999999,51,75,6.2,41.32,-73.09,1592940320
opuwo,NA,59.882,34,0,3.9,-18.06,13.84,1592940546
bojnice,SK,59.540000000000006,88,0,2.84,48.79,18.59,1592940546
glenluce,GB,57.992000000000004,95,100,2.24,54.88,-4.81,1592940546
freiberg,DE,64.652,55,0,2.12,50.92,13.37,1592940546
flinders,AU,52.592,68,0,4.02,-34.58,150.86,1592940546
beruwala,LK,81.41,85,100,2.38,6.48,79.98,1592940546
oktyabrskiy,RU,52.358000000000004,83,99,2.63,54.48,53.47,1592940546
emirdag,TR,64.724,58,67,2.81,39.02,31.15,1592940546
khasan,RU,59.936,92,100,2.88,42.43,130.64,1592940547
mezhdurechensk,RU,54.5,84,85,1.23,53.69,88.06,1592940547
vestmannaeyjar,IS,51.8,87,75,9.3,63.44,-20.27,1592940547
marsala,IT,76.082,94,0,4.1,37.8,12.44,1592940547
buba,GW,85.73,67,68,3.46,11.58,-15.0,1592940547
yumen,CN,65.03,24,0,3.62,40.28,97.2,1592940547
carballo,ES,64.706,96,1,1.34,43.21,-8.69,1592940257
yerbogachen,RU,54.194,76,26,2.46,61.28,108.01,1592940164
haines junction,CA,51.278000000000006,48,85,3.71,60.75,-137.51,1592940000
halifax,CA,67.568,93,90,4.1,44.65,-63.57,1592940324
ouricuri,BR,80.54599999999999,58,30,3.79,-7.88,-40.08,1592940293
poronaysk,RU,46.274,96,100,1.74,49.22,143.12,1592940547
suntar,RU,57.128,90,100,2.5,62.14,117.63,1592940548
makrisia,GR,66.722,88,20,1.5,37.62,21.6,1592940548
beloha,MG,60.926,90,0,3.51,-25.17,45.05,1592940548
ucluelet,CA,62.204,87,90,3.1,48.93,-125.55,1592940471
nouadhibou,MR,71.6,73,0,8.7,20.93,-17.03,1592940548
kharan,PK,93.05600000000001,34,4,6.8,28.58,65.42,1592940548
bermeo,ES,78.368,69,0,3.6,43.42,-2.72,1592940548
bemidji,US,65.39,72,90,3.1,47.47,-94.88,1592940548
yining,CN,72.77,93,84,0.15,29.04,114.56,1592940548
hare bay,CA,82.202,58,75,3.6,48.85,-54.01,1592940548
talcahuano,CL,51.8,81,75,2.6,-36.72,-73.12,1592940548
karabash,RU,48.542,90,73,2.2,55.48,60.22,1592940548
kota belud,MY,78.25999999999999,88,20,2.1,6.35,116.43,1592940548
broome,US,81.788,61,40,4.6,42.25,-75.83,1592940549
vardo,NO,42.8,75,75,5.1,70.37,31.11,1592940549
koroni,GR,72.338,64,20,2.1,36.8,21.95,1592940549
tulum,MX,87.188,70,90,4.6,20.22,-87.47,1592940549
key west,US,89.186,70,1,3.6,24.56,-81.78,1592940455
fairbanks,US,49.01,100,90,2.6,64.84,-147.72,1592939868
richards bay,ZA,64.202,75,0,4.03,-28.78,32.04,1592940549
borzoy,RU,71.6,56,0,1.0,42.84,45.63,1592940549
margate,GB,66.632,64,100,0.89,51.38,1.39,1592940265
ballina,AU,49.388,66,0,4.1,-28.87,153.57,1592940214
la ronge,CA,78.8,39,40,4.6,55.1,-105.28,1592940549
trelew,AR,54.662,39,8,5.0,-43.25,-65.31,1592940549
tamsweg,AT,60.962,59,0,1.79,47.13,13.81,1592940549
salvador,SV,88.01599999999999,63,20,2.6,13.83,-88.92,1592940350
apatou,GF,79.55600000000001,94,100,1.76,5.16,-54.35,1592940550
kachug,RU,59.396,63,61,1.23,53.96,105.88,1592940550
tabas,IR,95.0,12,0,3.1,33.6,56.92,1592940280
peniche,PT,64.634,86,7,4.47,39.36,-9.38,1592940203
inyonga,TZ,69.062,47,14,2.19,-6.72,32.07,1592940550
laguna,US,85.928,45,1,1.5,38.42,-121.42,1592940432
dwarka,IN,86.396,80,100,4.94,22.24,68.97,1592940550
fredericton,CA,88.05199999999999,38,1,6.7,45.95,-66.67,1592940550
voi,KE,70.736,76,10,4.6,-3.39,38.56,1592940550
porterville,US,92.39,38,1,3.1,36.07,-119.02,1592940550
kjollefjord,NO,46.4,70,16,4.6,70.95,27.35,1592940550
ayan,RU,43.628,93,100,2.15,56.45,138.17,1592940550
gasa,PS,75.128,69,20,3.6,31.5,34.47,1592940550
mahibadhoo,MV,84.164,77,91,5.79,3.78,72.97,1592940551
bakchar,RU,53.708,92,0,0.88,57.02,82.07,1592940551
mwene-ditu,CD,72.71600000000001,37,0,1.53,-7.0,23.45,1592940551
rio grande,BR,83.94800000000001,45,0,3.6,-32.03,-52.1,1592940364
hobyo,SO,78.62,78,6,12.63,5.35,48.53,1592940551
westport,US,84.344,51,75,6.2,41.14,-73.36,1592940551
dingle,PH,78.314,82,100,1.55,11.0,122.67,1592940551
poya,NC,67.568,78,0,0.22,-21.35,165.15,1592940551
phrae,TH,80.006,56,100,0.77,18.08,100.0,1592940551
wewak,PG,79.43,82,100,2.4,-3.55,143.63,1592940551
marzuq,YE,86.63000000000001,29,65,1.51,14.4,46.47,1592940551
pitkyaranta,RU,63.986000000000004,64,3,1.64,61.57,31.48,1592940551
waipawa,NZ,42.818,93,9,1.0,-41.41,175.52,1592940183
hervey bay,AU,51.998,65,0,1.79,-25.3,152.85,1592939993
chicama,PE,72.5,59,60,4.66,-7.84,-79.15,1592940552
murgab,TM,86.0,35,0,2.1,37.5,61.97,1592940552
baie-comeau,CA,68.0,68,1,3.6,49.22,-68.15,1592940552
saint-pierre,RE,62.959999999999994,78,0,6.2,-21.34,55.48,1592940552
bubaque,GW,82.526,81,69,3.54,11.28,-15.83,1592940552
saint-francois,FR,77.486,50,13,2.6,46.42,3.91,1592940552
grootfontein,NA,51.242,43,0,2.52,-19.57,18.12,1592940552
tobol,KZ,55.346000000000004,58,0,2.08,52.68,62.58,1592940552
desna,UA,68.36,100,35,2.0,50.93,30.76,1592940552
malanje,AO,63.248000000000005,30,0,1.33,-9.54,16.34,1592940552
sabha,LY,82.418,15,0,0.58,27.04,14.43,1592940552
bam,IR,92.24600000000001,11,4,5.24,29.11,58.36,1592940552
mogadishu,SO,78.764,87,13,7.48,2.04,45.34,1592940553
mwinilunga,ZM,56.3,43,0,1.39,-11.74,24.43,1592940553
banff,CA,64.004,61,100,3.13,51.18,-115.57,1592940553
nouakchott,MR,82.4,74,0,9.3,18.09,-15.98,1592940553
otradnoye,RU,67.80199999999999,52,0,3.0,59.78,30.82,1592940331
